state,sgcn,total_species,participants,funds,per_species,inc_plants
Alabama,366,4533,26,764289,2088.22,n
Alaska,376,1835,17,2486328,6612.57,n
Arkansas,377,3415,25,577051,1530.64,n
California,1157,6717,27,2486328,2148.94,y
Colorado,351,3597,154,1058628,3016.03,y
Connecticut,566,2497,72,497265,878.56,y
Delaware,692,2244,12,497265,718.59,n
Georgia,640,4436,98,1314228,2053.48,n
Idaho,205,3205,38,591725,2886.46,n
Illinois,421,3258,69,1629587,3870.75,n
Iowa,405,2533,55,606526,1497.60,n
Kansas,285,2778,38,719478,2524.48,n
Kentucky,301,3258,33,660456,2194.21,n
Louisiana,694,3495,37,717705,1034.16,y
Maine,378,2352,82,497265,1315.52,n
Maryland,610,3148,40,656906,1076.90,n
Massachusetts,570,2765,11,726658,1274.84,y
Michigan,302,3135,49,1333540,4415.70,n
Minnesota,346,2817,16,986443,2850.99,n
Mississippi,308,3580,49,554328,1799.77,n
Montana,47,2921,16,856272,18218.55,n
Nebraska,773,2587,52,586923,759.28,y
Nevada,256,3872,16,848401,3314.07,n
New Hampshire,170,2327,33,497265,2925.09,n
New Jersey,655,3022,40,958920,1464.00,n
New Mexico,235,4583,31,837785,3565.04,n
New York,366,3333,,2276807,6220.78,n
North Dakota,115,1889,1,497267,4324.06,n
Ohio,405,3152,,1417374,3499.69,n
Oklahoma,313,3616,37,749979,2396.10,n
Oregon,332,4136,77,897317,2702.76,y
Pennsylvania,664,3135,77,1559620,2348.83,n
Rhode Island,454,2078,59,497265,1095.30,n
South Carolina,839,3701,62,642752,766.09,n
South Dakota,101,2406,37,497265,4923.42,n
Tennessee,1483,3772,48,879080,592.77,y
Texas,1307,6273,2,2486328,1902.32,y
Utah,169,3892,16,723561,4281.43,y
Vermont,1000,2274,24,497265,497.27,y
Virginia,883,3803,32,1044136,1182.49,n
Washington,268,3375,12,1051497,3923.50,n
West Virginia,1143,2873,41,497265,435.05,n
Wisconsin,417,2869,52,881835,2114.71,n
Wyoming,180,3184,52,559722,3109.57,n